#YY  MM DD hh mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr  mo dy hr mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,nmi,hPa,ft
2019 03 29 00 00,MM,MM,MM,MM,MM,MM,MM,1012.8,24.8,25,MM,MM,-1.3,MM
2019 03 29 00 06,MM,MM,MM,MM,MM,MM,MM,1012.6,25.3,25,MM,MM,MM,MM
2019 03 29 00 12,MM,MM,MM,MM,MM,MM,MM,1012.5,24.8,25,MM,MM,MM,MM
2019 03 29 00 18,MM,MM,MM,MM,MM,MM,MM,1012.5,24.1,25,MM,MM,MM,MM
2019 03 29 00 24,MM,MM,MM,MM,MM,MM,MM,1012.5,24.5,25,MM,MM,MM,MM
2019 03 29 00 30,MM,MM,MM,MM,MM,MM,MM,1012.4,24.5,25.1,MM,MM,MM,MM
2019 03 29 00 36,MM,MM,MM,MM,MM,MM,MM,1012.4,24.3,25.1,MM,MM,MM,MM
2019 03 29 00 42,MM,MM,MM,MM,MM,MM,MM,1012.3,24.2,25.1,MM,MM,MM,MM
2019 03 29 00 48,MM,MM,MM,MM,MM,MM,MM,1012.2,24.2,25.1,MM,MM,MM,MM
2019 03 29 00 54,MM,MM,MM,MM,MM,MM,MM,1012.2,24.6,25.1,MM,MM,MM,MM
2019 03 29 01 00,MM,MM,MM,MM,MM,MM,MM,1012.2,24.3,25.1,MM,MM,-1.9,MM
2019 03 29 01 06,MM,MM,MM,MM,MM,MM,MM,1012.2,24.2,25.1,MM,MM,MM,MM
2019 03 29 01 12,MM,MM,MM,MM,MM,MM,MM,1012,24.6,25.1,MM,MM,MM,MM
2019 03 29 01 18,MM,MM,MM,MM,MM,MM,MM,1012,24.6,25.2,MM,MM,MM,MM
2019 03 29 01 24,MM,MM,MM,MM,MM,MM,MM,1012,24.5,25.2,MM,MM,MM,MM
2019 03 29 01 30,MM,MM,MM,MM,MM,MM,MM,1012,24.6,25.2,MM,MM,MM,MM
2019 03 29 01 36,MM,MM,MM,MM,MM,MM,MM,1012,24.5,25.2,MM,MM,MM,MM
2019 03 29 01 42,10,4.1,4.6,MM,MM,MM,MM,1011.9,24.4,25.2,MM,MM,MM,MM
2019 03 29 01 48,10,3.6,5.1,MM,MM,MM,MM,1011.9,24.2,25.3,MM,MM,MM,MM
2019 03 29 01 54,10,4.6,5.7,MM,MM,MM,MM,1012,24.6,25.3,MM,MM,MM,MM
2019 03 29 02 00,360,4.6,5.7,MM,MM,MM,MM,1012.1,24.2,25.3,MM,MM,-1.3,MM
2019 03 29 02 06,360,4.1,5.1,MM,MM,MM,MM,1012.1,24.2,25.3,MM,MM,MM,MM
2019 03 29 02 12,360,4.6,5.7,MM,MM,MM,MM,1012.1,24.3,25.3,MM,MM,MM,MM
2019 03 29 02 18,360,5.1,5.7,MM,MM,MM,MM,1012.2,24.1,25.3,MM,MM,MM,MM
2019 03 29 02 24,360,4.1,5.7,MM,MM,MM,MM,1012.2,24.2,25.3,MM,MM,MM,MM
2019 03 29 02 30,350,5.7,6.2,MM,MM,MM,MM,1012.3,24,25.3,MM,MM,MM,MM
2019 03 29 02 36,350,6.2,6.7,MM,MM,MM,MM,1012.3,23.9,25.3,MM,MM,MM,MM
2019 03 29 02 42,350,6.2,6.7,MM,MM,MM,MM,1012.4,24,25.3,MM,MM,MM,MM
2019 03 29 02 48,360,6.7,7.2,MM,MM,MM,MM,1012.5,24,25.3,MM,MM,MM,MM
2019 03 29 02 54,350,6.2,7.2,MM,MM,MM,MM,1012.6,24,25.3,MM,MM,MM,MM
2019 03 29 03 00,360,6.2,7.2,MM,MM,MM,MM,1012.6,23.9,25.3,MM,MM,0,MM
2019 03 29 03 06,360,6.2,7.7,MM,MM,MM,MM,1012.7,24,25.3,MM,MM,MM,MM
2019 03 29 03 12,360,6.2,7.7,MM,MM,MM,MM,1012.7,23.8,25.3,MM,MM,MM,MM
2019 03 29 03 18,10,6.2,7.2,MM,MM,MM,MM,1012.8,23.7,25.3,MM,MM,MM,MM
2019 03 29 03 24,360,6.2,7.2,MM,MM,MM,MM,1012.8,23.8,25.3,MM,MM,MM,MM
2019 03 29 03 30,10,5.7,6.7,MM,MM,MM,MM,1012.8,23.8,25.3,MM,MM,MM,MM
2019 03 29 03 36,10,5.7,6.7,MM,MM,MM,MM,1012.9,23.8,25.3,MM,MM,MM,MM
2019 03 29 03 42,MM,MM,MM,MM,MM,MM,MM,1012.9,23.4,25.3,MM,MM,MM,MM
2019 03 29 03 48,MM,MM,MM,MM,MM,MM,MM,1013,23.4,25.3,MM,MM,MM,MM
2019 03 29 03 54,MM,MM,MM,MM,MM,MM,MM,1012.9,23.4,25.3,MM,MM,MM,MM
2019 03 29 04 00,MM,MM,MM,MM,MM,MM,MM,1013,23.2,25.3,MM,MM,0.8,MM
2019 03 29 04 06,MM,MM,MM,MM,MM,MM,MM,1013,23.2,25.3,MM,MM,MM,MM
2019 03 29 04 12,MM,MM,MM,MM,MM,MM,MM,1013.1,23.2,25.3,MM,MM,MM,MM
2019 03 29 04 18,MM,MM,MM,MM,MM,MM,MM,1013.1,23.1,25.3,MM,MM,MM,MM
2019 03 29 04 24,MM,MM,MM,MM,MM,MM,MM,1013.2,23.1,25.3,MM,MM,MM,MM
2019 03 29 04 30,MM,MM,MM,MM,MM,MM,MM,1013.3,23.2,25.3,MM,MM,MM,MM
2019 03 29 04 36,MM,MM,MM,MM,MM,MM,MM,1013.3,23.3,25.3,MM,MM,MM,MM
2019 03 29 04 42,10,5.1,6.2,MM,MM,MM,MM,1013.4,23.2,25.3,MM,MM,MM,MM
2019 03 29 04 48,10,4.6,6.7,MM,MM,MM,MM,1013.5,23.3,25.3,MM,MM,MM,MM
2019 03 29 04 54,10,5.1,5.7,MM,MM,MM,MM,1013.5,23.1,25.3,MM,MM,MM,MM
2019 03 29 05 00,10,5.7,6.7,MM,MM,MM,MM,1013.5,23.1,25.3,MM,MM,1.4,MM
2019 03 29 05 06,10,5.1,6.2,MM,MM,MM,MM,1013.6,23.1,25.3,MM,MM,MM,MM
2019 03 29 05 12,10,5.1,5.7,MM,MM,MM,MM,1013.7,23.2,25.3,MM,MM,MM,MM
2019 03 29 05 18,10,5.1,6.2,MM,MM,MM,MM,1013.8,23.1,25.3,MM,MM,MM,MM
2019 03 29 05 24,20,4.6,5.7,MM,MM,MM,MM,1013.9,23.2,25.3,MM,MM,MM,MM
2019 03 29 05 30,20,5.1,5.7,MM,MM,MM,MM,1014,23.2,25.3,MM,MM,MM,MM
2019 03 29 05 36,20,5.1,5.7,MM,MM,MM,MM,1014,23.1,25.3,MM,MM,MM,MM
2019 03 29 05 42,MM,MM,MM,MM,MM,MM,MM,1014.2,23,25.3,MM,MM,MM,MM
2019 03 29 05 48,MM,MM,MM,MM,MM,MM,MM,1014.2,23.1,25.3,MM,MM,MM,MM
2019 03 29 05 54,MM,MM,MM,MM,MM,MM,MM,1014.3,23.1,25.3,MM,MM,MM,MM
2019 03 29 06 00,MM,MM,MM,MM,MM,MM,MM,1014.4,23.2,25.3,MM,MM,1.8,MM
2019 03 29 06 06,MM,MM,MM,MM,MM,MM,MM,1014.5,22.8,25.3,MM,MM,MM,MM
2019 03 29 06 12,MM,MM,MM,MM,MM,MM,MM,1014.5,22.7,25.3,MM,MM,MM,MM
2019 03 29 06 18,MM,MM,MM,MM,MM,MM,MM,1014.6,22.5,25.3,MM,MM,MM,MM
2019 03 29 06 24,MM,MM,MM,MM,MM,MM,MM,1014.7,22.6,25.3,MM,MM,MM,MM
