#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 04 01 00 00 133  0.8  3.9 99.00 99.00 99.00 999 1012.8  27.5  25.3 999.0 99.0 99.00
2019 04 01 00 06 229  1.4  4.5 99.00 99.00 99.00 999 1012.7  27.6  25.4 999.0 99.0 99.00
2019 04 01 00 12 256  1.4  6.1 99.00 99.00 99.00 999 1012.8  28.1  25.4 999.0 99.0 99.00
2019 04 01 00 18 267  1.1  3.3 99.00 99.00 99.00 999 1012.8  28.4  25.4 999.0 99.0 99.00
2019 04 01 00 24 264  1.8  4.9 99.00 99.00 99.00 999 1012.7  28.4  25.5 999.0 99.0 99.00
2019 04 01 00 30 211  2.1  4.0 99.00 99.00 99.00 999 1012.7  28.4  25.5 999.0 99.0 99.00
2019 04 01 00 36 183  1.0  3.6 99.00 99.00 99.00 999 1012.8  28.4  25.5 999.0 99.0 99.00
2019 04 01 00 42 238  1.7  3.5 99.00 99.00 99.00 999 1012.8  28.2  25.5 999.0 99.0 99.00
2019 04 01 00 48 194  3.2  6.6 99.00 99.00 99.00 999 1012.8  27.7  25.6 999.0 99.0 99.00
2019 04 01 00 54 209  1.7  4.2 99.00 99.00 99.00 999 1012.8  27.7  25.6 999.0 99.0 99.00
2019 04 01 01 00 209  1.1  4.5 99.00 99.00 99.00 999 1012.8  27.7  25.6 999.0 99.0 99.00
2019 04 01 01 06 244  1.5  4.3 99.00 99.00 99.00 999 1012.8  27.9  25.7 999.0 99.0 99.00
2019 04 01 01 12 180  1.2  4.3 99.00 99.00 99.00 999 1012.9  27.4  25.7 999.0 99.0 99.00
2019 04 01 01 18 189  1.6  4.1 99.00 99.00 99.00 999 1012.9  27.8  25.7 999.0 99.0 99.00
2019 04 01 01 24 206  1.2  5.0 99.00 99.00 99.00 999 1012.8  27.4  25.7 999.0 99.0 99.00
2019 04 01 01 30 214  1.1  4.1 99.00 99.00 99.00 999 1012.7  27.7  25.7 999.0 99.0 99.00
2019 04 01 01 36 238  1.3  4.7 99.00 99.00 99.00 999 1012.8  27.8  25.8 999.0 99.0 99.00
2019 04 01 01 42 226  1.3  4.0 99.00 99.00 99.00 999 1012.9  27.7  25.8 999.0 99.0 99.00
2019 04 01 01 48 206  1.5  3.8 99.00 99.00 99.00 999 1012.9  27.7  25.8 999.0 99.0 99.00
2019 04 01 01 54 221  1.3  4.5 99.00 99.00 99.00 999 1012.9  27.8  25.9 999.0 99.0 99.00
2019 04 01 02 00  50  0.5  3.1 99.00 99.00 99.00 999 1012.9  27.7  25.9 999.0 99.0 99.00
2019 04 01 02 06 202  2.0  4.8 99.00 99.00 99.00 999 1012.9  27.5  25.9 999.0 99.0 99.00
2019 04 01 02 12 224  1.3  3.2 99.00 99.00 99.00 999 1012.9  27.1  25.9 999.0 99.0 99.00
2019 04 01 02 18 210  1.6  3.6 99.00 99.00 99.00 999 1012.9  27.0  25.9 999.0 99.0 99.00
2019 04 01 02 24 235  0.6  4.6 99.00 99.00 99.00 999 1012.9  26.7  25.9 999.0 99.0 99.00
2019 04 01 02 30 357  1.8  3.7 99.00 99.00 99.00 999 1013.0  26.2  25.9 999.0 99.0 99.00
2019 04 01 02 36 271  1.4  2.5 99.00 99.00 99.00 999 1013.1  25.9  25.9 999.0 99.0 99.00
