#YY	MM	DD	hh	mm	WDIR	WSPD	GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	PTDY	TIDE	Num
2019	5	1	0	0	60	4.6	6.7	MM	MM	MM	MM	1017.4	25	26.9	MM	MM	-1.2	MM	8826
2019	5	1	0	6	50	5.1	7.2	MM	MM	MM	MM	1017.4	25.2	26.9	MM	MM	MM	MM	8825
2019	5	1	0	12	40	5.1	6.2	MM	MM	MM	MM	1017.3	25.1	26.9	MM	MM	MM	MM	8824
2019	5	1	0	18	50	5.1	6.2	MM	MM	MM	MM	1017.2	25	26.9	MM	MM	MM	MM	8823
2019	5	1	0	24	60	5.1	8.2	MM	MM	MM	MM	1017.1	25	26.9	MM	MM	MM	MM	8822
2019	5	1	0	30	70	4.1	7.2	MM	MM	MM	MM	1017.1	24.7	27	MM	MM	MM	MM	8821
2019	5	1	0	36	50	5.1	6.7	MM	MM	MM	MM	1017.1	24.9	27	MM	MM	MM	MM	8820
2019	5	1	0	42	40	5.1	6.7	MM	MM	MM	MM	1017	25	27	MM	MM	MM	MM	8819
2019	5	1	0	48	60	5.1	7.2	MM	MM	MM	MM	1017	25.5	27	MM	MM	MM	MM	8818
2019	5	1	0	54	60	4.1	6.7	MM	MM	MM	MM	1016.9	25.3	27.1	MM	MM	MM	MM	8817
2019	5	1	1	0	60	5.7	7.2	MM	MM	MM	MM	1016.9	24.8	27.1	MM	MM	-1.3	MM	8816
2019	5	1	1	6	50	4.1	6.2	MM	MM	MM	MM	1016.9	24.9	27.1	MM	MM	MM	MM	8815
2019	5	1	1	12	70	3.6	5.7	MM	MM	MM	MM	1016.9	25.1	27.1	MM	MM	MM	MM	8814
2019	5	1	1	18	40	4.6	6.7	MM	MM	MM	MM	1016.8	24.7	27.1	MM	MM	MM	MM	8813
2019	5	1	1	24	60	5.7	6.7	MM	MM	MM	MM	1016.8	24.9	27.1	MM	MM	MM	MM	8812
2019	5	1	1	30	60	4.6	6.7	MM	MM	MM	MM	1016.8	25	27.1	MM	MM	MM	MM	8811
2019	5	1	1	36	40	5.7	7.2	MM	MM	MM	MM	1016.8	24.6	27.1	MM	MM	MM	MM	8810
2019	5	1	1	42	60	5.1	7.2	MM	MM	MM	MM	1016.8	25.1	27	MM	MM	MM	MM	8809
2019	5	1	1	48	50	5.7	6.7	MM	MM	MM	MM	1016.7	25	27	MM	MM	MM	MM	8808
2019	5	1	1	54	60	5.7	7.2	MM	MM	MM	MM	1016.7	25	27	MM	MM	MM	MM	8807
2019	5	1	2	0	60	5.1	7.2	MM	MM	MM	MM	1016.7	24.9	27	MM	MM	-1.2	MM	8806
2019	5	1	2	6	40	6.2	7.2	MM	MM	MM	MM	1016.7	24.9	27	MM	MM	MM	MM	8805
2019	5	1	2	12	50	5.7	7.2	MM	MM	MM	MM	1016.8	25	27	MM	MM	MM	MM	8804
2019	5	1	2	18	60	5.1	6.7	MM	MM	MM	MM	1016.8	24.9	27	MM	MM	MM	MM	8803
2019	5	1	2	24	70	4.6	6.2	MM	MM	MM	MM	1016.8	24.9	27	MM	MM	MM	MM	8802
2019	5	1	2	30	60	5.7	7.7	MM	MM	MM	MM	1016.8	24.9	27	MM	MM	MM	MM	8801
2019	5	1	2	36	60	5.1	6.7	MM	MM	MM	MM	1016.8	24.9	27	MM	MM	MM	MM	8800
2019	5	1	2	42	60	5.1	6.7	MM	MM	MM	MM	1016.8	25	27	MM	MM	MM	MM	8799
2019	5	1	2	48	60	5.7	6.7	MM	MM	MM	MM	1016.8	24.7	27	MM	MM	MM	MM	8798
2019	5	1	2	54	50	5.7	6.7	MM	MM	MM	MM	1016.8	24.9	26.9	MM	MM	MM	MM	8797
2019	5	1	3	0	50	5.7	7.7	MM	MM	MM	MM	1016.8	24.9	26.9	MM	MM	-0.6	MM	8796
2019	5	1	3	6	60	6.2	8.2	MM	MM	MM	MM	1016.9	24.8	26.9	MM	MM	MM	MM	8795
2019	5	1	3	12	50	6.7	7.7	MM	MM	MM	MM	1016.9	24.7	26.9	MM	MM	MM	MM	8794
2019	5	1	3	18	60	5.7	7.2	MM	MM	MM	MM	1017	24.7	26.9	MM	MM	MM	MM	8793
2019	5	1	3	24	60	5.7	6.7	MM	MM	MM	MM	1017	24.6	26.9	MM	MM	MM	MM	8792
2019	5	1	3	30	50	5.7	7.7	MM	MM	MM	MM	1017.1	24.6	26.9	MM	MM	MM	MM	8791
2019	5	1	3	36	50	5.7	7.2	MM	MM	MM	MM	1017.1	24.7	26.8	MM	MM	MM	MM	8790
2019	5	1	3	42	50	5.7	6.7	MM	MM	MM	MM	1017.2	24.6	26.8	MM	MM	MM	MM	8789
2019	5	1	3	48	60	6.2	7.7	MM	MM	MM	MM	1017.3	24.6	26.8	MM	MM	MM	MM	8788
2019	5	1	3	54	60	6.2	7.7	MM	MM	MM	MM	1017.3	24.5	26.8	MM	MM	MM	MM	8787
2019	5	1	4	0	60	4.6	7.7	MM	MM	MM	MM	1017.3	24.4	26.8	MM	MM	0.4	MM	8786
2019	5	1	4	6	40	5.1	7.2	MM	MM	MM	MM	1017.4	24.5	26.8	MM	MM	MM	MM	8785
2019	5	1	4	12	40	5.7	6.7	MM	MM	MM	MM	1017.5	24.3	26.7	MM	MM	MM	MM	8784
2019	5	1	4	18	40	5.7	6.7	MM	MM	MM	MM	1017.5	24.4	26.7	MM	MM	MM	MM	8783
2019	5	1	4	24	50	6.2	7.7	MM	MM	MM	MM	1017.5	24.4	26.7	MM	MM	MM	MM	8782
2019	5	1	4	30	50	5.1	6.7	MM	MM	MM	MM	1017.6	24.4	26.7	MM	MM	MM	MM	8781
2019	5	1	4	36	60	4.1	6.7	MM	MM	MM	MM	1017.7	24.3	26.7	MM	MM	MM	MM	8780
2019	5	1	4	42	50	5.7	6.7	MM	MM	MM	MM	1017.8	24.3	26.7	MM	MM	MM	MM	8779
2019	5	1	4	48	40	5.1	6.2	MM	MM	MM	MM	1017.8	24.4	26.7	MM	MM	MM	MM	8778
2019	5	1	4	54	60	5.7	6.7	MM	MM	MM	MM	1017.9	24.4	26.7	MM	MM	MM	MM	8777
2019	5	1	5	0	50	4.6	6.2	MM	MM	MM	MM	1018	24.3	26.6	MM	MM	1.3	MM	8776
2019	5	1	5	6	50	6.2	7.2	MM	MM	MM	MM	1018	24.2	26.6	MM	MM	MM	MM	8775
2019	5	1	5	12	50	6.2	7.2	MM	MM	MM	MM	1018.1	24.3	26.6	MM	MM	MM	MM	8774
2019	5	1	5	18	50	5.7	7.2	MM	MM	MM	MM	1018.2	24.2	26.6	MM	MM	MM	MM	8773
2019	5	1	5	24	60	4.1	6.2	MM	MM	MM	MM	1018.2	24.2	26.6	MM	MM	MM	MM	8772
2019	5	1	5	30	50	4.1	6.2	MM	MM	MM	MM	1018.3	24.2	26.6	MM	MM	MM	MM	8771
2019	5	1	5	36	50	4.6	5.7	MM	MM	MM	MM	1018.3	24.1	26.6	MM	MM	MM	MM	8770
2019	5	1	5	42	40	4.6	5.7	MM	MM	MM	MM	1018.4	24.2	26.6	MM	MM	MM	MM	8769
2019	5	1	5	48	60	4.1	5.7	MM	MM	MM	MM	1018.4	24.2	26.6	MM	MM	MM	MM	8768
2019	5	1	5	54	50	5.1	6.2	MM	MM	MM	MM	1018.5	24.1	26.6	MM	MM	MM	MM	8767
2019	5	1	6	0	60	4.1	5.7	MM	MM	MM	MM	1018.6	24.3	26.6	MM	MM	1.8	MM	8766
2019	5	1	6	6	50	5.7	6.2	MM	MM	MM	MM	1018.6	24	26.6	MM	MM	MM	MM	8765
2019	5	1	6	12	50	5.1	6.2	MM	MM	MM	MM	1018.7	24.1	26.6	MM	MM	MM	MM	8764
2019	5	1	6	18	50	5.1	6.7	MM	MM	MM	MM	1018.7	24.1	26.6	MM	MM	MM	MM	8763
2019	5	1	6	24	50	4.6	6.2	MM	MM	MM	MM	1018.8	24.2	26.6	MM	MM	MM	MM	8762
2019	5	1	6	30	40	4.1	5.1	MM	MM	MM	MM	1018.8	24.3	26.6	MM	MM	MM	MM	8761
2019	5	1	6	36	50	4.6	5.7	MM	MM	MM	MM	1018.9	24	26.6	MM	MM	MM	MM	8760
2019	5	1	6	42	50	4.1	5.1	MM	MM	MM	MM	1019	24.1	26.6	MM	MM	MM	MM	8759
2019	5	1	6	48	50	4.6	5.1	MM	MM	MM	MM	1019	24.1	26.6	MM	MM	MM	MM	8758
2019	5	1	6	54	50	5.1	5.7	MM	MM	MM	MM	1019.1	24	26.6	MM	MM	MM	MM	8757
2019	5	1	7	0	40	4.1	5.7	MM	MM	MM	MM	1019.1	24.1	26.6	MM	MM	1.8	MM	8756
2019	5	1	7	6	50	4.1	5.1	MM	MM	MM	MM	1019.2	24.1	26.6	MM	MM	MM	MM	8755
2019	5	1	7	12	40	4.1	5.1	MM	MM	MM	MM	1019.2	24	26.6	MM	MM	MM	MM	8754
2019	5	1	7	18	50	3.6	5.1	MM	MM	MM	MM	1019.2	24.1	26.6	MM	MM	MM	MM	8753
2019	5	1	7	24	60	4.6	5.7	MM	MM	MM	MM	1019.3	24.1	26.6	MM	MM	MM	MM	8752
2019	5	1	7	30	60	4.1	6.2	MM	MM	MM	MM	1019.3	24.1	26.5	MM	MM	MM	MM	8751
2019	5	1	7	36	50	4.1	5.1	MM	MM	MM	MM	1019.3	24	26.5	MM	MM	MM	MM	8750
2019	5	1	7	42	60	4.6	5.7	MM	MM	MM	MM	1019.3	24.1	26.5	MM	MM	MM	MM	8749
2019	5	1	7	48	50	4.6	5.1	MM	MM	MM	MM	1019.3	24.1	26.5	MM	MM	MM	MM	8748
2019	5	1	7	54	50	4.1	5.1	MM	MM	MM	MM	1019.4	24.1	26.5	MM	MM	MM	MM	8747
2019	5	1	8	0	50	4.1	5.1	MM	MM	MM	MM	1019.4	24.1	26.5	MM	MM	1.4	MM	8746
2019	5	1	8	6	50	4.1	5.7	MM	MM	MM	MM	1019.3	24.2	26.5	MM	MM	MM	MM	8745
2019	5	1	8	12	60	4.1	5.1	MM	MM	MM	MM	1019.3	24	26.5	MM	MM	MM	MM	8744
2019	5	1	8	18	60	4.1	5.7	MM	MM	MM	MM	1019.3	24	26.5	MM	MM	MM	MM	8743
2019	5	1	8	24	70	4.6	5.7	MM	MM	MM	MM	1019.4	24.1	26.5	MM	MM	MM	MM	8742
2019	5	1	8	30	60	4.6	5.7	MM	MM	MM	MM	1019.4	24.1	26.5	MM	MM	MM	MM	8741
2019	5	1	8	36	70	4.6	5.7	MM	MM	MM	MM	1019.4	24	26.5	MM	MM	MM	MM	8740
2019	5	1	8	42	70	4.6	5.7	MM	MM	MM	MM	1019.4	24.1	26.5	MM	MM	MM	MM	8739
2019	5	1	8	48	60	4.6	5.7	MM	MM	MM	MM	1019.4	24.1	26.5	MM	MM	MM	MM	8738
2019	5	1	8	54	70	3.6	5.7	MM	MM	MM	MM	1019.4	24.1	26.5	MM	MM	MM	MM	8737
2019	5	1	9	0	70	3.6	5.1	MM	MM	MM	MM	1019.4	24	26.5	MM	MM	0.8	MM	8736
2019	5	1	9	6	80	3.6	4.6	MM	MM	MM	MM	1019.4	24	26.4	MM	MM	MM	MM	8735
2019	5	1	9	12	70	4.6	5.7	MM	MM	MM	MM	1019.4	24.1	26.4	MM	MM	MM	MM	8734
2019	5	1	9	18	70	3.6	5.7	MM	MM	MM	MM	1019.3	24.1	26.4	MM	MM	MM	MM	8733
2019	5	1	9	24	70	2.6	4.1	MM	MM	MM	MM	1019.3	24.2	26.4	MM	MM	MM	MM	8732
2019	5	1	9	30	70	3.6	4.6	MM	MM	MM	MM	1019.1	24.1	26.4	MM	MM	MM	MM	8731
2019	5	1	9	36	60	4.1	6.2	MM	MM	MM	MM	1019.1	24.2	26.4	MM	MM	MM	MM	8730
2019	5	1	9	42	60	5.7	6.7	MM	MM	MM	MM	1019	23.9	26.4	MM	MM	MM	MM	8729
2019	5	1	9	48	60	4.6	6.2	MM	MM	MM	MM	1019	23.9	26.4	MM	MM	MM	MM	8728
2019	5	1	9	54	50	4.1	6.2	MM	MM	MM	MM	1019	23.7	26.4	MM	MM	MM	MM	8727
2019	5	1	10	0	50	4.1	5.7	MM	MM	MM	MM	1018.9	23.9	26.4	MM	MM	0	MM	8726
2019	5	1	10	6	50	5.1	6.2	MM	MM	MM	MM	1018.9	23.6	26.4	MM	MM	MM	MM	8725
2019	5	1	10	12	40	5.7	6.2	MM	MM	MM	MM	1018.8	23.4	26.4	MM	MM	MM	MM	8724
2019	5	1	10	18	40	6.7	7.7	MM	MM	MM	MM	1018.8	23.5	26.4	MM	MM	MM	MM	8723
2019	5	1	10	24	20	5.7	7.7	MM	MM	MM	MM	1018.8	22.9	26.4	MM	MM	MM	MM	8722
2019	5	1	10	30	10	4.6	5.7	MM	MM	MM	MM	1018.7	23.1	26.3	MM	MM	MM	MM	8721
2019	5	1	10	36	30	4.1	5.7	MM	MM	MM	MM	1018.7	23.3	26.3	MM	MM	MM	MM	8720
2019	5	1	10	42	30	3.6	5.1	MM	MM	MM	MM	1018.6	23.3	26.3	MM	MM	MM	MM	8719
2019	5	1	10	48	40	3.1	4.1	MM	MM	MM	MM	1018.4	23.3	26.3	MM	MM	MM	MM	8718
2019	5	1	10	54	50	2.6	3.6	MM	MM	MM	MM	1018.4	23.3	26.3	MM	MM	MM	MM	8717
2019	5	1	11	0	60	3.1	4.6	MM	MM	MM	MM	1018.3	23.5	26.3	MM	MM	-1.1	MM	8716
2019	5	1	11	6	50	3.6	5.1	MM	MM	MM	MM	1018.3	23.5	26.3	MM	MM	MM	MM	8715
2019	5	1	11	12	40	3.6	4.6	MM	MM	MM	MM	1018.2	23.5	26.3	MM	MM	MM	MM	8714
2019	5	1	11	18	50	3.1	4.6	MM	MM	MM	MM	1018.1	23.5	26.3	MM	MM	MM	MM	8713
2019	5	1	11	24	60	2.6	4.1	MM	MM	MM	MM	1018	23.4	26.3	MM	MM	MM	MM	8712
2019	5	1	11	30	50	4.1	4.6	MM	MM	MM	MM	1017.9	23.3	26.3	MM	MM	MM	MM	8711
2019	5	1	11	36	50	3.6	4.6	MM	MM	MM	MM	1017.9	23.5	26.3	MM	MM	MM	MM	8710
2019	5	1	11	42	40	4.1	5.1	MM	MM	MM	MM	1017.9	23.5	26.3	MM	MM	MM	MM	8709
2019	5	1	11	48	40	5.1	6.7	MM	MM	MM	MM	1017.9	23.4	26.2	MM	MM	MM	MM	8708
2019	5	1	11	54	30	5.7	6.7	MM	MM	MM	MM	1017.8	23.3	26.2	MM	MM	MM	MM	8707
2019	5	1	12	0	30	6.2	7.2	MM	MM	MM	MM	1017.7	23.2	26.2	MM	MM	-1.7	MM	8706
