#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 02 01 04 42  53  9.4 11.9 99.00 99.00 99.00 999 1012.7  22.0  22.3 999.0 99.0 99.00
2019 02 01 04 48  35  6.7 10.1 99.00 99.00 99.00 999 1012.7  21.6  22.3 999.0 99.0 99.00
2019 02 01 04 54  37  7.1  8.4 99.00 99.00 99.00 999 1012.7  22.0  22.3 999.0 99.0 99.00
2019 02 01 05 00  33  9.0 11.5 99.00 99.00 99.00 999 1012.8  22.2  22.3 999.0 99.0 99.00
2019 02 01 05 06  32  6.9  9.9 99.00 99.00 99.00 999 1012.9  22.1  22.3 999.0 99.0 99.00
2019 02 01 05 12  36  7.1  8.9 99.00 99.00 99.00 999 1013.0  22.4  22.3 999.0 99.0 99.00
2019 02 01 05 18  34  9.2 10.9 99.00 99.00 99.00 999 1013.1  22.5  22.3 999.0 99.0 99.00
2019 02 01 05 24  24  9.5 11.2 99.00 99.00 99.00 999 1013.1  22.5  22.3 999.0 99.0 99.00
2019 02 01 05 30  35  7.8 10.2 99.00 99.00 99.00 999 1013.1  22.4  22.3 999.0 99.0 99.00
2019 02 01 05 36  30  7.5  9.6 99.00 99.00 99.00 999 1013.2  22.5  22.3 999.0 99.0 99.00
2019 02 01 05 42  23  8.4 10.1 99.00 99.00 99.00 999 1013.2  22.4  22.3 999.0 99.0 99.00
2019 02 01 05 48  38  7.1  9.6 99.00 99.00 99.00 999 1013.3  22.3  22.3 999.0 99.0 99.00
2019 02 01 05 54  21  8.3 13.2 99.00 99.00 99.00 999 1013.4  21.8  22.3 999.0 99.0 99.00
2019 02 01 06 00  34  9.3 11.1 99.00 99.00 99.00 999 1013.5  22.1  22.3 999.0 99.0 99.00
2019 02 01 06 06  55  9.6 12.0 99.00 99.00 99.00 999 1013.7  22.1  22.3 999.0 99.0 99.00
2019 02 01 06 12  37  7.6 11.0 99.00 99.00 99.00 999 1013.9  21.5  22.3 999.0 99.0 99.00
2019 02 01 06 18  33  6.6  8.3 99.00 99.00 99.00 999 1013.9  21.6  22.3 999.0 99.0 99.00
2019 02 01 06 24  21  6.1  7.3 99.00 99.00 99.00 999 1014.0  22.0  22.3 999.0 99.0 99.00
2019 02 01 06 30  30  7.7 10.6 99.00 99.00 99.00 999 1014.1  22.0  22.3 999.0 99.0 99.00
2019 02 01 06 36  37  7.2 11.7 99.00 99.00 99.00 999 1014.1  21.6  22.3 999.0 99.0 99.00
2019 02 01 06 42  10  6.2  8.7 99.00 99.00 99.00 999 1014.1  22.0  22.3 999.0 99.0 99.00
2019 02 01 06 48  47  6.3  8.6 99.00 99.00 99.00 999 1014.2  21.7  22.3 999.0 99.0 99.00
2019 02 01 06 54  31  6.5  7.6 99.00 99.00 99.00 999 1014.2  21.8  22.3 999.0 99.0 99.00
2019 02 01 07 00  42  5.5  7.1 99.00 99.00 99.00 999 1014.2  22.1  22.3 999.0 99.0 99.00
2019 02 01 07 06  33  8.6 11.0 99.00 99.00 99.00 999 1014.2  22.0  22.2 999.0 99.0 99.00
2019 02 01 07 12  35  8.8 10.4 99.00 99.00 99.00 999 1014.1  22.5  22.2 999.0 99.0 99.00
2019 02 01 07 18  37  9.0 10.7 99.00 99.00 99.00 999 1014.2  22.7  22.2 999.0 99.0 99.00
2019 02 01 07 24  43  7.9  9.9 99.00 99.00 99.00 999 1014.3  22.7  22.2 999.0 99.0 99.00
2019 02 01 07 30  34  8.1 10.3 99.00 99.00 99.00 999 1014.3  22.7  22.2 999.0 99.0 99.00
2019 02 01 07 36  32  8.1 10.6 99.00 99.00 99.00 999 1014.4  22.5  22.2 999.0 99.0 99.00
2019 02 01 07 42  38  8.1 10.4 99.00 99.00 99.00 999 1014.5  22.5  22.2 999.0 99.0 99.00
2019 02 01 07 48  35  8.4 11.5 99.00 99.00 99.00 999 1014.5  22.7  22.2 999.0 99.0 99.00
2019 02 01 07 54  41  7.6 10.0 99.00 99.00 99.00 999 1014.5  22.6  22.2 999.0 99.0 99.00
2019 02 01 08 00  67 10.0 11.5 99.00 99.00 99.00 999 1014.7  21.7  22.2 999.0 99.0 99.00
2019 02 01 08 06  69  7.7 11.3 99.00 99.00 99.00 999 1014.7  20.9  22.2 999.0 99.0 99.00
2019 02 01 08 12  40  6.2 10.0 99.00 99.00 99.00 999 1014.6  20.7  22.2 999.0 99.0 99.00
2019 02 01 08 18  41  5.7  8.5 99.00 99.00 99.00 999 1014.6  21.1  22.2 999.0 99.0 99.00
2019 02 01 08 24  44  3.3  5.3 99.00 99.00 99.00 999 1014.6  21.3  22.2 999.0 99.0 99.00
2019 02 01 08 30  41  6.0  7.4 99.00 99.00 99.00 999 1014.5  21.8  22.2 999.0 99.0 99.00
2019 02 01 08 36  42 10.0 12.6 99.00 99.00 99.00 999 1014.6  21.6  22.2 999.0 99.0 99.00
2019 02 01 08 42  37  8.8 12.0 99.00 99.00 99.00 999 1014.5  21.6  22.2 999.0 99.0 99.00
2019 02 01 08 48  36  8.8 10.7 99.00 99.00 99.00 999 1014.6  21.6  22.2 999.0 99.0 99.00
2019 02 01 08 54  40  8.4 10.6 99.00 99.00 99.00 999 1014.6  21.4  22.2 999.0 99.0 99.00
2019 02 01 09 00  48  7.8 10.3 99.00 99.00 99.00 999 1014.6  21.7  22.2 999.0 99.0 99.00
2019 02 01 09 06  55  7.4  9.1 99.00 99.00 99.00 999 1014.6  21.8  22.2 999.0 99.0 99.00
2019 02 01 09 12  55  8.4 11.2 99.00 99.00 99.00 999 1014.5  22.0  22.2 999.0 99.0 99.00
2019 02 01 09 18  37  8.4 10.4 99.00 99.00 99.00 999 1014.6  22.0  22.2 999.0 99.0 99.00
2019 02 01 09 24  38  7.6  9.5 99.00 99.00 99.00 999 1014.5  22.0  22.2 999.0 99.0 99.00
2019 02 01 09 30  42  7.7 10.3 99.00 99.00 99.00 999 1014.4  22.0  22.2 999.0 99.0 99.00
2019 02 01 09 36  41  7.4  9.3 99.00 99.00 99.00 999 1014.4  22.2  22.2 999.0 99.0 99.00
2019 02 01 09 42  40  8.7 10.1 99.00 99.00 99.00 999 1014.5  22.2  22.2 999.0 99.0 99.00
2019 02 01 09 48  75  9.1 10.8 99.00 99.00 99.00 999 1014.5  20.8  22.2 999.0 99.0 99.00
2019 02 01 09 54  61  5.2 10.4 99.00 99.00 99.00 999 1014.5  20.5  22.2 999.0 99.0 99.00
2019 02 01 10 00  45  4.8  6.4 99.00 99.00 99.00 999 1014.4  21.0  22.2 999.0 99.0 99.00
2019 02 01 10 06  36  6.9  9.1 99.00 99.00 99.00 999 1014.4  21.2  22.2 999.0 99.0 99.00
2019 02 01 10 12  43  3.6  8.4 99.00 99.00 99.00 999 1014.3  21.3  22.2 999.0 99.0 99.00
2019 02 01 10 18  75  6.4 10.6 99.00 99.00 99.00 999 1014.5  21.1  22.2 999.0 99.0 99.00
2019 02 01 10 24  83  7.5 10.3 99.00 99.00 99.00 999 1014.4  21.1  22.2 999.0 99.0 99.00
2019 02 01 10 30  87  4.9  9.8 99.00 99.00 99.00 999 1014.3  21.3  22.2 999.0 99.0 99.00
2019 02 01 10 36  75  6.4  8.4 99.00 99.00 99.00 999 1014.3  21.2  22.2 999.0 99.0 99.00
2019 02 01 10 42  55  6.5  8.9 99.00 99.00 99.00 999 1014.3  21.2  22.2 999.0 99.0 99.00
2019 02 01 10 48  76  5.6  7.9 99.00 99.00 99.00 999 1014.3  20.9  22.1 999.0 99.0 99.00
2019 02 01 10 54  75  5.2  8.3 99.00 99.00 99.00 999 1014.3  20.8  22.1 999.0 99.0 99.00
2019 02 01 11 00  64  4.6  6.4 99.00 99.00 99.00 999 1014.3  21.2  22.1 999.0 99.0 99.00
2019 02 01 11 06  52  5.3  6.4 99.00 99.00 99.00 999 1014.3  21.4  22.1 999.0 99.0 99.00
2019 02 01 11 12  50  5.3  6.9 99.00 99.00 99.00 999 1014.3  21.6  22.1 999.0 99.0 99.00
2019 02 01 11 18  47  5.4  6.7 99.00 99.00 99.00 999 1014.3  21.6  22.1 999.0 99.0 99.00
2019 02 01 11 24  49  4.1  5.6 99.00 99.00 99.00 999 1014.3  21.6  22.1 999.0 99.0 99.00
2019 02 01 11 30  65  4.3  6.6 99.00 99.00 99.00 999 1014.2  21.6  22.1 999.0 99.0 99.00
2019 02 01 11 36  58  4.9  7.2 99.00 99.00 99.00 999 1014.0  21.6  22.1 999.0 99.0 99.00
2019 02 01 11 42  60  6.9  8.4 99.00 99.00 99.00 999 1013.9  21.7  22.1 999.0 99.0 99.00
2019 02 01 11 48  50  5.9  7.8 99.00 99.00 99.00 999 1013.8  21.6  22.1 999.0 99.0 99.00
2019 02 01 11 54  54  5.4  6.9 99.00 99.00 99.00 999 1013.8  21.7  22.1 999.0 99.0 99.00
2019 02 01 12 00  58  8.9 11.3 99.00 99.00 99.00 999 1013.7  21.1  22.1 999.0 99.0 99.00
2019 02 01 12 06  50  7.8 11.2 99.00 99.00 99.00 999 1013.7  20.9  22.1 999.0 99.0 99.00
2019 02 01 12 12  44  6.2  8.2 99.00 99.00 99.00 999 1013.7  21.2  22.1 999.0 99.0 99.00
2019 02 01 12 18  41  6.4  7.8 99.00 99.00 99.00 999 1013.6  21.4  22.1 999.0 99.0 99.00
2019 02 01 12 24  49  6.1  7.7 99.00 99.00 99.00 999 1013.5  21.6  22.1 999.0 99.0 99.00
2019 02 01 12 30  60  6.8  8.1 99.00 99.00 99.00 999 1013.4  21.5  22.1 999.0 99.0 99.00
2019 02 01 12 36  68  5.2  8.2 99.00 99.00 99.00 999 1013.2  21.6  22.1 999.0 99.0 99.00
2019 02 01 12 42  62  5.2  6.7 99.00 99.00 99.00 999 1013.2  21.8  22.1 999.0 99.0 99.00
2019 02 01 12 48  60  5.3  6.7 99.00 99.00 99.00 999 1013.2  21.9  22.1 999.0 99.0 99.00
2019 02 01 12 54  59  5.0  7.0 99.00 99.00 99.00 999 1013.1  21.9  22.1 999.0 99.0 99.00
2019 02 01 13 00  60  5.8  7.9 99.00 99.00 99.00 999 1013.1  22.0  22.1 999.0 99.0 99.00
2019 02 01 13 06  53  6.2  7.1 99.00 99.00 99.00 999 1012.9  22.0  22.1 999.0 99.0 99.00
2019 02 01 13 12  59  8.0  9.7 99.00 99.00 99.00 999 1012.9  21.9  22.1 999.0 99.0 99.00
2019 02 01 13 18  63  7.8  9.9 99.00 99.00 99.00 999 1012.8  21.3  22.1 999.0 99.0 99.00
2019 02 01 13 24  56  5.4  8.6 99.00 99.00 99.00 999 1012.9  21.5  22.1 999.0 99.0 99.00
2019 02 01 13 30  67  4.2  5.6 99.00 99.00 99.00 999 1012.8  21.7  22.1 999.0 99.0 99.00
2019 02 01 13 36  65  5.3  7.0 99.00 99.00 99.00 999 1012.8  22.0  22.1 999.0 99.0 99.00
2019 02 01 13 42  69  5.9  7.6 99.00 99.00 99.00 999 1012.8  22.0  22.1 999.0 99.0 99.00
2019 02 01 13 48  70  5.3  7.5 99.00 99.00 99.00 999 1012.8  22.2  22.1 999.0 99.0 99.00
2019 02 01 13 54  71  5.5  7.0 99.00 99.00 99.00 999 1012.8  22.4  22.1 999.0 99.0 99.00
2019 02 01 14 00  71  4.5  6.1 99.00 99.00 99.00 999 1012.8  22.5  22.1 999.0 99.0 99.00
2019 02 01 14 06  79  5.8  7.8 99.00 99.00 99.00 999 1012.7  22.5  22.1 999.0 99.0 99.00
2019 02 01 14 12  70  5.2  7.3 99.00 99.00 99.00 999 1012.6  22.7  22.1 999.0 99.0 99.00
2019 02 01 14 18  77  5.8  7.5 99.00 99.00 99.00 999 1012.7  22.6  22.1 999.0 99.0 99.00
2019 02 01 14 24  71  6.2  7.7 99.00 99.00 99.00 999 1012.7  22.6  22.1 999.0 99.0 99.00
2019 02 01 14 30  73  5.3  7.2 99.00 99.00 99.00 999 1012.7  22.5  22.1 999.0 99.0 99.00
2019 02 01 14 36  70  4.5  6.2 99.00 99.00 99.00 999 1012.7  22.5  22.1 999.0 99.0 99.00
2019 02 01 14 42  76  4.9  6.4 99.00 99.00 99.00 999 1012.8  22.7  22.1 999.0 99.0 99.00
2019 02 01 14 48  58  6.1  7.7 99.00 99.00 99.00 999 1012.8  22.5  22.1 999.0 99.0 99.00
2019 02 01 14 54  64  5.6  7.5 99.00 99.00 99.00 999 1012.9  22.2  22.0 999.0 99.0 99.00
2019 02 01 15 00  65  5.0  7.5 99.00 99.00 99.00 999 1012.9  22.2  22.0 999.0 99.0 99.00
2019 02 01 15 06  65  4.8  7.2 99.00 99.00 99.00 999 1013.0  22.3  22.0 999.0 99.0 99.00
2019 02 01 15 12  62  5.0  6.3 99.00 99.00 99.00 999 1013.1  22.3  22.0 999.0 99.0 99.00
2019 02 01 15 18  64  4.5  5.9 99.00 99.00 99.00 999 1013.1  22.4  22.0 999.0 99.0 99.00
2019 02 01 15 24  63  4.3  5.8 99.00 99.00 99.00 999 1013.1  22.4  22.0 999.0 99.0 99.00
2019 02 01 15 30  61  5.3  7.4 99.00 99.00 99.00 999 1013.2  21.9  22.0 999.0 99.0 99.00
2019 02 01 15 36  63  5.3  7.0 99.00 99.00 99.00 999 1013.3  22.0  22.0 999.0 99.0 99.00
2019 02 01 15 42  74  4.9  7.0 99.00 99.00 99.00 999 1013.4  22.1  22.0 999.0 99.0 99.00
2019 02 01 15 48  76  4.8  6.4 99.00 99.00 99.00 999 1013.5  22.2  22.0 999.0 99.0 99.00
2019 02 01 15 54  79  3.8  5.9 99.00 99.00 99.00 999 1013.6  22.2  22.0 999.0 99.0 99.00
2019 02 01 16 00  78  4.8  5.9 99.00 99.00 99.00 999 1013.7  22.4  22.0 999.0 99.0 99.00
2019 02 01 16 06  72  4.6  5.8 99.00 99.00 99.00 999 1013.8  22.4  22.0 999.0 99.0 99.00
2019 02 01 16 12  74  4.6  5.9 99.00 99.00 99.00 999 1013.9  22.4  22.0 999.0 99.0 99.00
2019 02 01 16 18  62  3.8  4.8 99.00 99.00 99.00 999 1013.9  22.4  22.0 999.0 99.0 99.00
2019 02 01 16 24  66  2.9  4.3 99.00 99.00 99.00 999 1013.9  22.4  22.0 999.0 99.0 99.00
2019 02 01 16 30  63  3.1  4.2 99.00 99.00 99.00 999 1014.0  22.3  22.0 999.0 99.0 99.00
2019 02 01 16 36  64  2.8  4.0 99.00 99.00 99.00 999 1014.1  22.3  22.0 999.0 99.0 99.00
2019 02 01 16 42  54  1.8  2.7 99.00 99.00 99.00 999 1014.2  22.2  22.0 999.0 99.0 99.00
2019 02 01 16 48  64  5.2  8.1 99.00 99.00 99.00 999 1014.3  21.4  22.0 999.0 99.0 99.00
2019 02 01 16 54  70  2.4  8.2 99.00 99.00 99.00 999 1014.2  20.6  22.0 999.0 99.0 99.00
2019 02 01 17 00  90  1.5  4.6 99.00 99.00 99.00 999 1014.3  21.1  22.0 999.0 99.0 99.00
2019 02 01 17 06  95  1.7  3.5 99.00 99.00 99.00 999 1014.5  21.3  22.0 999.0 99.0 99.00
2019 02 01 17 12  85  1.8  3.3 99.00 99.00 99.00 999 1014.5  21.3  22.0 999.0 99.0 99.00
2019 02 01 17 18  80  2.3  3.3 99.00 99.00 99.00 999 1014.6  21.5  22.0 999.0 99.0 99.00
2019 02 01 17 24  81  1.8  3.5 99.00 99.00 99.00 999 1014.6  21.5  22.0 999.0 99.0 99.00
2019 02 01 17 30  83  2.3  4.0 99.00 99.00 99.00 999 1014.7  21.5  22.0 999.0 99.0 99.00
2019 02 01 17 36 123  1.2  3.5 99.00 99.00 99.00 999 1014.8  21.4  22.0 999.0 99.0 99.00
2019 02 01 17 42  83  0.8  2.4 99.00 99.00 99.00 999 1014.8  21.4  22.0 999.0 99.0 99.00
2019 02 01 17 48 142  0.7  2.3 99.00 99.00 99.00 999 1014.8  21.4  22.0 999.0 99.0 99.00
2019 02 01 17 54 250  0.8  2.2 99.00 99.00 99.00 999 1014.8  21.0  22.0 999.0 99.0 99.00
2019 02 01 18 00 231  0.9  1.8 99.00 99.00 99.00 999 1014.8  21.0  22.0 999.0 99.0 99.00
2019 02 01 18 06 206  1.1  1.4 99.00 99.00 99.00 999 1014.9  21.1  22.0 999.0 99.0 99.00
2019 02 01 18 12 311  1.7  2.3 99.00 99.00 99.00 999 1014.9  21.1  22.0 999.0 99.0 99.00
2019 02 01 18 18  68  4.0  5.6 99.00 99.00 99.00 999 1015.0  21.8  22.0 999.0 99.0 99.00
2019 02 01 18 24 107  1.9  5.8 99.00 99.00 99.00 999 1015.1  21.7  22.0 999.0 99.0 99.00
2019 02 01 18 30 130  1.9  2.5 99.00 99.00 99.00 999 1015.0  21.5  22.0 999.0 99.0 99.00
2019 02 01 18 36  84  2.6  6.7 99.00 99.00 99.00 999 1015.1  21.7  22.0 999.0 99.0 99.00
2019 02 01 18 42  92  2.8  9.2 99.00 99.00 99.00 999 1015.3  21.3  22.0 999.0 99.0 99.00
2019 02 01 18 48  82  2.4  3.8 99.00 99.00 99.00 999 1015.4  21.2  22.0 999.0 99.0 99.00
2019 02 01 18 54  83  1.4  3.9 99.00 99.00 99.00 999 1015.4  21.5  22.0 999.0 99.0 99.00
2019 02 01 19 00  70  1.9  2.7 99.00 99.00 99.00 999 1015.5  21.5  22.0 999.0 99.0 99.00
2019 02 01 19 06  83  1.7  3.6 99.00 99.00 99.00 999 1015.4  21.6  22.0 999.0 99.0 99.00
2019 02 01 19 12  74  2.1  3.5 99.00 99.00 99.00 999 1015.4  21.6  22.0 999.0 99.0 99.00
2019 02 01 19 18  71  1.8  2.5 99.00 99.00 99.00 999 1015.4  21.7  22.0 999.0 99.0 99.00
2019 02 01 19 24  72  8.8 10.3 99.00 99.00 99.00 999 1015.7  21.1  22.0 999.0 99.0 99.00
2019 02 01 19 30  68  6.2  9.9 99.00 99.00 99.00 999 1015.7  20.8  22.0 999.0 99.0 99.00
2019 02 01 19 36  68  4.5  6.5 99.00 99.00 99.00 999 1015.8  21.1  22.0 999.0 99.0 99.00
2019 02 01 19 42  75  3.3  5.2 99.00 99.00 99.00 999 1015.8  21.3  22.0 999.0 99.0 99.00
2019 02 01 19 48 123  1.7  4.9 99.00 99.00 99.00 999 1015.9  21.5  22.0 999.0 99.0 99.00
2019 02 01 19 54 131  2.6  6.3 99.00 99.00 99.00 999 1015.9  21.5  22.0 999.0 99.0 99.00
2019 02 01 20 00  90  3.2  6.6 99.00 99.00 99.00 999 1016.0  21.4  22.0 999.0 99.0 99.00
2019 02 01 20 06  78  4.8  7.8 99.00 99.00 99.00 999 1016.0  21.1  22.0 999.0 99.0 99.00
2019 02 01 20 12  90  3.2  6.6 99.00 99.00 99.00 999 1016.0  21.4  22.0 999.0 99.0 99.00
2019 02 01 20 18  84  2.0  4.8 99.00 99.00 99.00 999 1016.1  21.2  22.0 999.0 99.0 99.00
2019 02 01 20 24  66  5.0  6.0 99.00 99.00 99.00 999 1016.1  21.3  22.0 999.0 99.0 99.00
2019 02 01 20 30  58  5.1  7.2 99.00 99.00 99.00 999 1016.1  21.7  22.0 999.0 99.0 99.00
2019 02 01 20 36  69  2.7  5.3 99.00 99.00 99.00 999 1016.0  21.6  22.0 999.0 99.0 99.00
2019 02 01 20 42  62  2.1  3.5 99.00 99.00 99.00 999 1015.9  22.1  22.0 999.0 99.0 99.00
2019 02 01 20 48  52  2.1  4.0 99.00 99.00 99.00 999 1015.9  22.1  22.0 999.0 99.0 99.00
2019 02 01 20 54  36  1.7  3.5 99.00 99.00 99.00 999 1015.8  22.1  22.0 999.0 99.0 99.00
2019 02 01 21 00 359  1.5  2.3 99.00 99.00 99.00 999 1015.6  22.3  22.0 999.0 99.0 99.00
2019 02 01 21 06  57  5.7  7.5 99.00 99.00 99.00 999 1015.6  22.0  22.0 999.0 99.0 99.00
2019 02 01 21 12  91  4.8 11.8 99.00 99.00 99.00 999 1015.9  21.2  22.0 999.0 99.0 99.00
2019 02 01 21 18 103  7.6 10.1 99.00 99.00 99.00 999 1015.7  21.3  22.0 999.0 99.0 99.00
2019 02 01 21 24  99  5.6 10.1 99.00 99.00 99.00 999 1015.8  21.1  22.0 999.0 99.0 99.00
2019 02 01 21 30 102  4.5  8.2 99.00 99.00 99.00 999 1015.8  21.3  22.0 999.0 99.0 99.00
2019 02 01 21 36  86  1.1  6.1 99.00 99.00 99.00 999 1015.7  21.3  22.1 999.0 99.0 99.00
2019 02 01 21 42  60  2.3  3.1 99.00 99.00 99.00 999 1015.7  21.2  22.1 999.0 99.0 99.00
2019 02 01 21 48  28  1.1  2.3 99.00 99.00 99.00 999 1015.6  21.0  22.1 999.0 99.0 99.00
2019 02 01 21 54  72  0.3  1.1 99.00 99.00 99.00 999 1015.4  21.6  22.1 999.0 99.0 99.00
2019 02 01 22 00 334  0.7  0.9 99.00 99.00 99.00 999 1015.4  21.5  22.1 999.0 99.0 99.00
2019 02 01 22 06 306  0.6  1.0 99.00 99.00 99.00 999 1015.4  21.4  22.1 999.0 99.0 99.00
2019 02 01 22 12 273  1.0  1.9 99.00 99.00 99.00 999 1015.4  21.6  22.1 999.0 99.0 99.00
2019 02 01 22 18 263  1.7  2.3 99.00 99.00 99.00 999 1015.3  21.6  22.2 999.0 99.0 99.00
2019 02 01 22 24 114  1.1  3.1 99.00 99.00 99.00 999 1015.2  22.0  22.2 999.0 99.0 99.00
2019 02 01 22 30  66  5.7  7.1 99.00 99.00 99.00 999 1015.1  21.9  22.2 999.0 99.0 99.00
2019 02 01 22 36  74  6.1  7.8 99.00 99.00 99.00 999 1014.9  22.4  22.2 999.0 99.0 99.00
2019 02 01 22 42  70  5.7  8.1 99.00 99.00 99.00 999 1014.7  22.9  22.2 999.0 99.0 99.00
2019 02 01 22 48  82  4.4  7.4 99.00 99.00 99.00 999 1014.6  22.8  22.2 999.0 99.0 99.00
