#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 02 01 00 00  31 10.5 12.1 99.00 99.00 99.00 999 1012.2  22.8  22.3 999.0 99.0 99.00
2019 02 01 00 06  31  9.5 11.6 99.00 99.00 99.00 999 1012.2  22.8  22.3 999.0 99.0 99.00
2019 02 01 00 12  25  9.5 12.6 99.00 99.00 99.00 999 1012.1  22.8  22.3 999.0 99.0 99.00
2019 02 01 00 18  28  9.3 11.8 99.00 99.00 99.00 999 1012.1  22.8  22.3 999.0 99.0 99.00
2019 02 01 00 24  22 10.2 12.2 99.00 99.00 99.00 999 1012.1  22.7  22.3 999.0 99.0 99.00
2019 02 01 00 30  24 10.2 13.0 99.00 99.00 99.00 999 1012.1  22.6  22.3 999.0 99.0 99.00
2019 02 01 00 36  25 10.2 12.3 99.00 99.00 99.00 999 1012.1  22.6  22.3 999.0 99.0 99.00
2019 02 01 00 42  21  9.7 12.2 99.00 99.00 99.00 999 1012.1  22.6  22.3 999.0 99.0 99.00
2019 02 01 00 48  20  9.9 12.0 99.00 99.00 99.00 999 1012.1  22.6  22.3 999.0 99.0 99.00
2019 02 01 00 54  24  9.7 11.5 99.00 99.00 99.00 999 1012.1  22.6  22.3 999.0 99.0 99.00
2019 02 01 01 00  24 10.1 11.6 99.00 99.00 99.00 999 1012.1  22.5  22.3 999.0 99.0 99.00
2019 02 01 01 06  20  9.1 11.6 99.00 99.00 99.00 999 1012.1  22.6  22.3 999.0 99.0 99.00
2019 02 01 01 12  29 10.2 12.3 99.00 99.00 99.00 999 1012.1  22.5  22.3 999.0 99.0 99.00
2019 02 01 01 18  26  9.6 11.4 99.00 99.00 99.00 999 1012.1  22.7  22.3 999.0 99.0 99.00
2019 02 01 01 24  39  8.5 10.7 99.00 99.00 99.00 999 1012.1  22.7  22.3 999.0 99.0 99.00
2019 02 01 01 30  24  9.4 11.3 99.00 99.00 99.00 999 1012.1  22.4  22.3 999.0 99.0 99.00
2019 02 01 01 36  30  8.6 10.8 99.00 99.00 99.00 999 1012.1  22.7  22.3 999.0 99.0 99.00
2019 02 01 01 42  29  7.7 10.8 99.00 99.00 99.00 999 1012.1  22.7  22.3 999.0 99.0 99.00
2019 02 01 01 48  34  7.9 11.1 99.00 99.00 99.00 999 1012.1  22.8  22.3 999.0 99.0 99.00
2019 02 01 01 54  43 10.0 12.9 99.00 99.00 99.00 999 1012.1  22.3  22.3 999.0 99.0 99.00
2019 02 01 02 00  48  8.1 12.9 99.00 99.00 99.00 999 1012.2  21.9  22.3 999.0 99.0 99.00
2019 02 01 02 06  27  7.9  9.6 99.00 99.00 99.00 999 1012.1  22.0  22.3 999.0 99.0 99.00
2019 02 01 02 12  42  8.7 10.4 99.00 99.00 99.00 999 1012.1  22.2  22.3 999.0 99.0 99.00
2019 02 01 02 18  40  9.7 11.9 99.00 99.00 99.00 999 1012.1  22.4  22.3 999.0 99.0 99.00
2019 02 01 02 24  36  8.3 10.2 99.00 99.00 99.00 999 1012.1  22.2  22.3 999.0 99.0 99.00
2019 02 01 02 30  36  8.2  9.8 99.00 99.00 99.00 999 1012.2  22.2  22.3 999.0 99.0 99.00
2019 02 01 02 36  39  7.3  9.9 99.00 99.00 99.00 999 1012.1  22.4  22.3 999.0 99.0 99.00
2019 02 01 02 42  38  7.3  8.5 99.00 99.00 99.00 999 1012.0  22.4  22.3 999.0 99.0 99.00
2019 02 01 02 48  33  9.1 11.0 99.00 99.00 99.00 999 1012.1  22.3  22.3 999.0 99.0 99.00
2019 02 01 02 54  30  8.4 11.2 99.00 99.00 99.00 999 1012.2  22.4  22.3 999.0 99.0 99.00
2019 02 01 03 00  33  7.6  9.0 99.00 99.00 99.00 999 1012.3  22.4  22.3 999.0 99.0 99.00
2019 02 01 03 06  41  7.5  9.2 99.00 99.00 99.00 999 1012.3  22.2  22.3 999.0 99.0 99.00
2019 02 01 03 12  45  6.8 10.4 99.00 99.00 99.00 999 1012.3  22.1  22.3 999.0 99.0 99.00
2019 02 01 03 18  42  7.3  9.4 99.00 99.00 99.00 999 1012.3  22.2  22.3 999.0 99.0 99.00
2019 02 01 03 24  49  9.6 11.7 99.00 99.00 99.00 999 1012.5  20.7  22.3 999.0 99.0 99.00
2019 02 01 03 30  47  6.3  9.6 99.00 99.00 99.00 999 1012.4  20.6  22.3 999.0 99.0 99.00
2019 02 01 03 36  46  6.3  7.5 99.00 99.00 99.00 999 1012.5  21.1  22.3 999.0 99.0 99.00
2019 02 01 03 42  43  6.3  7.6 99.00 99.00 99.00 999 1012.5  21.5  22.3 999.0 99.0 99.00
2019 02 01 03 48  52  7.0  9.1 99.00 99.00 99.00 999 1012.5  21.5  22.3 999.0 99.0 99.00
2019 02 01 03 54  39  7.3  8.9 99.00 99.00 99.00 999 1012.6  22.0  22.3 999.0 99.0 99.00
2019 02 01 04 00  35  6.2  9.5 99.00 99.00 99.00 999 1012.6  22.2  22.3 999.0 99.0 99.00
2019 02 01 04 06  48  6.3  8.6 99.00 99.00 99.00 999 1012.7  22.0  22.3 999.0 99.0 99.00
2019 02 01 04 12  39  6.3  7.6 99.00 99.00 99.00 999 1012.7  22.1  22.3 999.0 99.0 99.00
2019 02 01 04 18  42  5.6  7.2 99.00 99.00 99.00 999 1012.7  22.2  22.3 999.0 99.0 99.00
2019 02 01 04 24  45  6.5  7.8 99.00 99.00 99.00 999 1012.7  22.3  22.3 999.0 99.0 99.00
2019 02 01 04 30  45  6.6 10.3 99.00 99.00 99.00 999 1012.6  22.1  22.3 999.0 99.0 99.00
2019 02 01 04 36  38  7.9  9.3 99.00 99.00 99.00 999 1012.6  22.4  22.3 999.0 99.0 99.00
