#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 03 01 00 00  20  5.8  7.1 99.00 99.00 99.00 999 1017.5  20.5 999.0 999.0 99.0 99.00
2019 03 01 00 06  18  5.8  7.4 99.00 99.00 99.00 999 9999.0  20.9 999.0 999.0 99.0 99.00
2019 03 01 00 12   0  5.4  6.8 99.00 99.00 99.00 999 9999.0  20.8 999.0 999.0 99.0 99.00
2019 03 01 00 18  11  5.9  6.8 99.00 99.00 99.00 999 1017.5  21.0 999.0 999.0 99.0 99.00
2019 03 01 00 24 360  5.8  7.5 99.00 99.00 99.00 999 1017.4  20.9 999.0 999.0 99.0 99.00
2019 03 01 00 30 357  7.0  8.2 99.00 99.00 99.00 999 9999.0  20.6 999.0 999.0 99.0 99.00
2019 03 01 00 36 360  6.4  9.3 99.00 99.00 99.00 999 9999.0  20.9 999.0 999.0 99.0 99.00
2019 03 01 00 42   3  7.1  7.8 99.00 99.00 99.00 999 1017.3  20.9 999.0 999.0 99.0 99.00
2019 03 01 00 48   3  5.8  8.4 99.00 99.00 99.00 999 1017.3  21.1 999.0 999.0 99.0 99.00
2019 03 01 00 54   6  6.6  7.5 99.00 99.00 99.00 999 9999.0  20.9 999.0 999.0 99.0 99.00
2019 03 01 01 00  10  6.6  8.3 99.00 99.00 99.00 999 9999.0  21.0 999.0 999.0 99.0 99.00
2019 03 01 01 06  11  6.7  8.4 99.00 99.00 99.00 999 1017.4  21.0 999.0 999.0 99.0 99.00
2019 03 01 01 12 359  6.8  9.1 99.00 99.00 99.00 999 1017.3  20.9 999.0 999.0 99.0 99.00
2019 03 01 01 18   3  8.0  8.8 99.00 99.00 99.00 999 9999.0  20.9 999.0 999.0 99.0 99.00
2019 03 01 01 24 351  8.1  9.2 99.00 99.00 99.00 999 9999.0  21.1 999.0 999.0 99.0 99.00
2019 03 01 01 30 352  7.4  8.3 99.00 99.00 99.00 999 1017.2  21.0 999.0 999.0 99.0 99.00
2019 03 01 01 36 356  6.4  7.8 99.00 99.00 99.00 999 1017.2  21.1 999.0 999.0 99.0 99.00
2019 03 01 01 42   0  6.2  7.3 99.00 99.00 99.00 999 9999.0  20.9 999.0 999.0 99.0 99.00
2019 03 01 01 48   7  6.6  8.2 99.00 99.00 99.00 999 9999.0  20.8 999.0 999.0 99.0 99.00
2019 03 01 01 54  20  7.8  8.9 99.00 99.00 99.00 999 1017.3  20.6 999.0 999.0 99.0 99.00
2019 03 01 02 00   9  6.5  8.3 99.00 99.00 99.00 999 1017.4  20.6 999.0 999.0 99.0 99.00
2019 03 01 02 06   7  7.3  8.6 99.00 99.00 99.00 999 9999.0  20.7 999.0 999.0 99.0 99.00
2019 03 01 02 12   8  6.3  7.9 99.00 99.00 99.00 999 9999.0  20.8 999.0 999.0 99.0 99.00
2019 03 01 02 18   9  6.5  8.1 99.00 99.00 99.00 999 1017.5  20.7 999.0 999.0 99.0 99.00
2019 03 01 02 24 352  7.1  8.4 99.00 99.00 99.00 999 1017.5  20.6 999.0 999.0 99.0 99.00
2019 03 01 02 30 354  6.5  8.9 99.00 99.00 99.00 999 9999.0  20.7 999.0 999.0 99.0 99.00
2019 03 01 02 36   4  6.8  8.8 99.00 99.00 99.00 999 9999.0  20.7 999.0 999.0 99.0 99.00
2019 03 01 02 42  14  7.2  8.3 99.00 99.00 99.00 999 1017.4  20.6 999.0 999.0 99.0 99.00
2019 03 01 02 48   3  6.6  8.4 99.00 99.00 99.00 999 1017.3  20.6 999.0 999.0 99.0 99.00
2019 03 01 02 54  17  7.0  7.8 99.00 99.00 99.00 999 9999.0  20.6 999.0 999.0 99.0 99.00
2019 03 01 03 00  11  6.9  8.2 99.00 99.00 99.00 999 9999.0  20.7 999.0 999.0 99.0 99.00
2019 03 01 03 06  10  6.7  7.8 99.00 99.00 99.00 999 1017.3  20.7 999.0 999.0 99.0 99.00
2019 03 01 03 12  19  6.9  8.3 99.00 99.00 99.00 999 1017.3  20.7 999.0 999.0 99.0 99.00
2019 03 01 03 18  17  6.8  7.7 99.00 99.00 99.00 999 9999.0  20.7 999.0 999.0 99.0 99.00
2019 03 01 03 24   9  6.9  8.3 99.00 99.00 99.00 999 9999.0  20.7 999.0 999.0 99.0 99.00
2019 03 01 03 30  14  6.0  6.8 99.00 99.00 99.00 999 1017.2  20.7 999.0 999.0 99.0 99.00
2019 03 01 03 36  22  6.5  8.0 99.00 99.00 99.00 999 1017.3  20.7 999.0 999.0 99.0 99.00
2019 03 01 03 42  12  6.2  8.0 99.00 99.00 99.00 999 9999.0  20.7 999.0 999.0 99.0 99.00
2019 03 01 03 48   2  6.7  8.1 99.00 99.00 99.00 999 9999.0  20.7 999.0 999.0 99.0 99.00
2019 03 01 03 54  17  6.2  7.3 99.00 99.00 99.00 999 1017.5  20.7 999.0 999.0 99.0 99.00
2019 03 01 04 00  13  6.3  7.5 99.00 99.00 99.00 999 1017.6  20.7 999.0 999.0 99.0 99.00
2019 03 01 04 06   6  6.5  7.1 99.00 99.00 99.00 999 9999.0  20.6 999.0 999.0 99.0 99.00
2019 03 01 04 12   8  6.9  9.7 99.00 99.00 99.00 999 9999.0  20.6 999.0 999.0 99.0 99.00
2019 03 01 04 18   7  6.2  7.2 99.00 99.00 99.00 999 1017.9  20.5 999.0 999.0 99.0 99.00
2019 03 01 04 24   1  7.5  9.8 99.00 99.00 99.00 999 1018.0  20.3 999.0 999.0 99.0 99.00
2019 03 01 04 30  12  7.2  8.6 99.00 99.00 99.00 999 1018.1  20.3 999.0 999.0 99.0 99.00
2019 03 01 04 36  14  7.2  8.6 99.00 99.00 99.00 999 1018.1  20.3 999.0 999.0 99.0 99.00
2019 03 01 04 42   9  6.6  8.2 99.00 99.00 99.00 999 1018.2  20.3 999.0 999.0 99.0 99.00
2019 03 01 04 48   9  6.6  8.0 99.00 99.00 99.00 999 1018.3  20.4 999.0 999.0 99.0 99.00
2019 03 01 04 54   4  6.0  7.7 99.00 99.00 99.00 999 1018.3  20.5 999.0 999.0 99.0 99.00
2019 03 01 05 00 358  6.3  7.8 99.00 99.00 99.00 999 1018.3  20.5 999.0 999.0 99.0 99.00
2019 03 01 05 06   7  5.5  8.2 99.00 99.00 99.00 999 1018.3  20.5 999.0 999.0 99.0 99.00
2019 03 01 05 12  13  6.4  7.6 99.00 99.00 99.00 999 1018.4  20.4 999.0 999.0 99.0 99.00
2019 03 01 05 18  14  6.5  7.4 99.00 99.00 99.00 999 1018.5  20.3 999.0 999.0 99.0 99.00
2019 03 01 05 24  13  5.9  8.1 99.00 99.00 99.00 999 1018.6  20.4 999.0 999.0 99.0 99.00
