,V2,V3
1,5/10/19 10:30,NA
2,5/10/19 10:45,NA
3,5/10/19 11:00,NA
4,5/10/19 11:15,NA
5,5/10/19 11:30,NA
6,5/10/19 11:45,NA
7,5/10/19 12:00,NA
8,5/10/19 12:15,NA
9,5/10/19 12:30,NA
10,5/10/19 12:45,NA
11,5/10/19 13:00,NA
12,5/10/19 13:15,NA
13,5/10/19 13:30,NA
14,5/10/19 13:45,NA
15,5/10/19 14:00,NA
16,5/10/19 14:15,NA
17,5/10/19 14:30,NA
18,5/10/19 14:45,NA
19,5/10/19 15:00,NA
20,5/10/19 15:15,NA
21,5/10/19 15:30,NA
22,5/10/19 15:45,NA
23,5/10/19 16:00,NA
24,5/10/19 16:15,NA
25,5/10/19 16:30,NA
26,5/10/19 16:45,NA
27,5/10/19 17:00,NA
28,5/10/19 17:15,NA
29,5/10/19 17:30,NA
30,5/10/19 17:45,NA
31,5/10/19 18:00,NA
32,5/10/19 18:15,NA
33,5/10/19 18:30,NA
34,5/10/19 18:45,NA
35,5/10/19 19:00,NA
36,5/10/19 19:15,NA
37,5/10/19 19:30,NA
38,5/10/19 19:45,NA
39,5/10/19 20:00,26.818
40,5/10/19 20:15,26.744
41,5/10/19 20:30,26.744
42,5/10/19 20:45,26.671
43,5/10/19 21:00,26.695
44,5/10/19 21:15,26.671
45,5/10/19 21:30,26.695
46,5/10/19 21:45,26.744
47,5/10/19 22:00,26.793
48,5/10/19 22:15,26.744
49,5/10/19 22:30,26.671
50,5/10/19 22:45,26.671
51,5/10/19 23:00,26.72
52,5/10/19 23:15,26.72
53,5/10/19 23:30,26.72
54,5/10/19 23:45,26.598
55,5/11/19 0:00,26.5
56,5/11/19 0:15,26.524
57,5/11/19 0:30,26.549
58,5/11/19 0:45,26.549
59,5/11/19 1:00,26.524
60,5/11/19 1:15,26.5
61,5/11/19 1:30,26.426
62,5/11/19 1:45,26.378
63,5/11/19 2:00,26.378
64,5/11/19 2:15,26.353
65,5/11/19 2:30,26.378
66,5/11/19 2:45,26.353
67,5/11/19 3:00,26.378
68,5/11/19 3:15,26.426
69,5/11/19 3:30,26.475
70,5/11/19 3:45,26.475
71,5/11/19 4:00,26.475
72,5/11/19 4:15,26.475
73,5/11/19 4:30,26.475
74,5/11/19 4:45,26.475
75,5/11/19 5:00,26.475
76,5/11/19 5:15,26.5
77,5/11/19 5:30,26.5
78,5/11/19 5:45,26.475
79,5/11/19 6:00,26.475
80,5/11/19 6:15,26.5
81,5/11/19 6:30,26.451
82,5/11/19 6:45,26.451
83,5/11/19 7:00,26.451
84,5/11/19 7:15,26.475
85,5/11/19 7:30,26.451
86,5/11/19 7:45,26.475
87,5/11/19 8:00,26.5
88,5/11/19 8:15,26.598
89,5/11/19 8:30,26.622
90,5/11/19 8:45,26.622
91,5/11/19 9:00,26.646
92,5/11/19 9:15,26.671
93,5/11/19 9:30,26.695
94,5/11/19 9:45,26.72
95,5/11/19 10:00,26.72
96,5/11/19 10:15,26.744
97,5/11/19 10:30,26.793
98,5/11/19 10:45,26.818
99,5/11/19 11:00,26.818
100,5/11/19 11:15,26.867
101,5/11/19 11:30,26.916
102,5/11/19 11:45,26.965
103,5/11/19 12:00,26.94
104,5/11/19 12:15,26.965
105,5/11/19 12:30,27.014
106,5/11/19 12:45,27.112
107,5/11/19 13:00,27.087
108,5/11/19 13:15,27.063
109,5/11/19 13:30,27.186
110,5/11/19 13:45,27.186
111,5/11/19 14:00,27.21
112,5/11/19 14:15,27.333
113,5/11/19 14:30,27.382
114,5/11/19 14:45,27.382
115,5/11/19 15:00,27.382
116,5/11/19 15:15,27.407
117,5/11/19 15:30,27.358
118,5/11/19 15:45,27.308
119,5/11/19 16:00,27.308
120,5/11/19 16:15,27.284
121,5/11/19 16:30,27.186
122,5/11/19 16:45,27.161
123,5/11/19 17:00,27.161
124,5/11/19 17:15,27.161
125,5/11/19 17:30,27.161
126,5/11/19 17:45,27.284
127,5/11/19 18:00,27.358
128,5/11/19 18:15,27.333
129,5/11/19 18:30,27.235
130,5/11/19 18:45,26.94
131,5/11/19 19:00,26.867
