mVTris,TTris,Notes
-65.1,25.07,
-64.6,25.44,
-64,25.95,
-63.5,26.4,
-62.8,26.92,
-62.1,27.46,
-61.4,28.01,
-60.8,28.49,
-60.1,28.99,
-59.5,29.46,
-58.9,29.93,
-58.3,30.44,
-57.7,30.88,
-57.2,31.35,
