mVTris,TTris,Notes
-77.3,24.9,This day I did not realize that I was supposed to use the other temp probe and I was using the temperature readings from the Conductivity probe
-73.5,25.3,
-68.7,25.8,
-65.6,27.2,
-65.2,27.6,
-64.9,27.9,
-64.2,28.5,
-63.6,28.9,
-63.2,29.3,
-62.7,29.6,
-62.1,30,
-61.2,30.4,
