mVTris,TTris,Notes
-72.7,26.51,Today used all the correct probes and got an R^2 values of .98
-72.1,26.97,
-71.2,27.39,
-70.5,27.82,
-69.5,28.29,
-68.3,28.79,
-67.3,29.19,
-66.1,29.64,
-65.2,30.12,
-64.4,30.6,
