mVTris,TTris,Notes
-71.9,25.8,
-71.5,26.29,
-70.6,26.77,
-69.5,27.17,
-67.4,27.71,
-66,28.14,
-65.2,28.52,
-64.3,28.95,
-63.7,29.33,
-63,29.61,
-62.6,29.93,
-61.9,30.32,
-61.3,30.83,
