"Bleaching.Score","PLUG.ID","Timepoint","Treatment","Species","Group","SpGroup"
"1",10.745335722113,"2392","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"2",9.04068410639081,"2734","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"3",0.87414086300873,"1050","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"4",9.28497837100438,"1048","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"5",9.98244496878998,"1477","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"6",9.65477130928189,"1570","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"7",9.08600366659184,"1574","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"8",5.78283359681024,"1093","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"9",7.80126279313229,"1639","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"10",5.02543331601877,"1124","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"11",7.93065727842831,"1539","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"12",3.63002798483573,"1740","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"13",3.28049941068446,"1271","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"14",4.14617450210485,"1544","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"15",5.82171138435922,"2555","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"16",4.07569518855846,"2519","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"17",-1.94906996792189,"2363","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"18",1.88385737731528,"1721","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"19",-4.7114369315943,"2530","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"20",3.9428222518667,"2754","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"21",-4.6599651529842,"1535","Time0","Ambient","M. capitata","Time0 Ambient M. capitata","Ambient M. capitata"
"22",-0.854042644395951,"2887","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"23",-8.49033376080927,"1344","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"24",-0.288814600334177,"1213","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"25",-10.3089184593918,"1750","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"26",2.24616594252992,"2540","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"27",6.04253100252361,"1207","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"28",-3.97997654899339,"1278","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"29",-8.34587711579626,"2535","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"30",-0.697113877694019,"2010","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"31",-3.88536405826614,"2009","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"32",-1.1229080473276,"2081","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"33",9.7901743433137,"1654","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"34",1.87099137608066,"1079","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"35",8.29240572215792,"1638","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
"36",-8.25768148623396,"1106","Time0","Ambient","P. acuta","Time0 Ambient P. acuta","Ambient P. acuta"
